stage_index,stage_name,i,x[m],dx[m],qprime[W/m],UA_prime[W/K/m],Tgw[K],Tww[K],boiling,gas_T[K],gas_P[Pa],water_h[J/kg],water_P[Pa],water_T[K],water_x[-]
3,HX_4,6,0.24,0.04,755357.9142232406,633.0414430491563,542.4400984392513,542.4400962626813,True,1632.800519587252,115000.0,705035.4364603567,1000000,439.87610688610044,
3,HX_4,7,0.28,0.04,751842.9290841598,631.6674399153998,542.6577621110791,542.6577619885093,True,1630.52655458559,115000.0,708056.8681172497,1000000,440.56928569929653,
3,HX_4,8,0.32,0.04,748354.531632308,630.3015956214281,542.875433333527,542.8754333266246,True,1628.2626260426061,115000.0,711064.2398335864,1000000,441.2588760764301,
3,HX_4,9,0.36,0.04,744892.2853882959,628.9438149771312,543.0930779506677,543.0930779502788,True,1626.00866010887,115000.0,714057.6579601156,1000000,441.9449045847374,
3,HX_4,10,0.4,0.04,741455.9009541257,627.5940217215643,543.3106829294911,543.3106829294691,True,1623.764584171236,115000.0,717037.2271016687,1000000,442.6273973770966,
3,HX_4,11,0.44,0.04,738045.1044366147,626.252141948294,543.5282371258942,543.5282371258928,True,1621.5303264113422,115000.0,720003.0507054852,1000000,443.3063803271604,
3,HX_4,12,0.48,0.04,734659.6266308789,624.9181027879896,543.7457297668066,543.7457297668066,True,1619.3058157600906,115000.0,722955.2311232316,1000000,443.98187904367865,
3,HX_4,13,0.52,0.04,731299.2020893575,623.5918322915921,543.9631503263638,543.9631503263639,True,1617.0909818846694,115000.0,725893.8696297552,1000000,444.6539188748943,
3,HX_4,14,0.56,0.04,727963.5689904104,622.2732594079881,544.1804885116826,544.1804885116828,True,1614.885755178359,115000.0,728819.0664381125,1000000,445.32252491208703,
3,HX_4,15,0.6,0.04,724652.4690720304,620.9623139693474,544.3977342573372,544.3977342573373,True,1612.6900667507134,115000.0,731730.9207140742,1000000,445.98772199299526,
3,HX_4,16,0.64,0.04,721365.6475718304,619.6589266772984,544.6148777206141,544.6148777206142,True,1610.5038484179183,115000.0,734629.5305903623,1000000,446.6495347051796,
3,HX_4,17,0.68,0.04,718102.8531686193,618.3630290894077,544.8319092769273,544.8319092769273,True,1608.3270326933145,115000.0,737514.9931806496,1000000,447.3079873893294,
3,HX_4,18,0.72,0.04,714863.8379251573,617.0745536059093,545.0488195153341,545.0488195153341,True,1606.159552778075,115000.0,740387.404593324,1000000,447.9631041425166,
3,HX_4,19,0.76,0.04,711648.3572320526,615.7934334566918,545.2655992341602,545.26559923416,True,1604.0013425520397,115000.0,743246.8599450247,1000000,448.6149088213978,
4,HX_5,0,0.0,0.10407407407407408,223907.59208265968,198.18869887300818,1072.5891818766606,1005.2572113802219,True,1601.8523365646931,115000.0,559848.252533881,1000000,406.18961077299656,
4,HX_5,1,0.10407407407407408,0.10407407407407408,235636.43384436562,198.0280504282635,1040.9139448967378,1037.1222449857687,True,1600.0927279777661,115000.0,562178.5500662968,1000000,406.73540110687,
4,HX_5,2,0.20814814814814817,0.10407407407407408,235804.1151278977,198.00699002029617,1038.353025443997,1038.1395014952864,True,1598.2405814774877,115000.0,564630.9144333437,1000000,407.3096240886578,
4,HX_5,3,0.31222222222222223,0.10407407407407408,235344.42840390943,197.9940919492845,1037.495948583587,1037.4839242995604,True,1596.3867412642805,115000.0,567085.023927823,1000000,407.8840931607963,
4,HX_5,4,0.41629629629629633,0.10407407407407408,234851.72704347072,197.9816834105009,1036.7398409755178,1036.7391638458223,True,1594.536139464263,115000.0,569534.3492752858,1000000,408.4572790742095,
4,HX_5,5,0.5203703703703704,0.10407407407407408,234358.22755502208,197.96931546835611,1035.9909726846554,1035.9909345531025,True,1592.6890371618347,115000.0,571978.5468789604,1000000,409.0291012631337,
4,HX_5,6,0.6244444444444445,0.10407407407407408,233865.66885763055,197.956961862943,1035.243860055195,1035.243857907873,True,1590.8454421956267,115000.0,574417.6084324034,1000000,409.5995576683648,
4,HX_5,7,0.7285185185185186,0.10407407407407408,233374.14264323085,197.9446210687169,1034.4981795604522,1034.4981794395287,True,1589.005348728428,115000.0,576851.5437268106,1000000,410.16865047074765,
4,HX_5,8,0.8325925925925927,0.10407407407407408,232883.65189387483,197.93229300745705,1033.7539094130652,1033.7539094062554,True,1587.1687501979013,115000.0,579280.3635076531,1000000,410.7363820783693,
4,HX_5,9,0.9366666666666668,0.10407407407407408,232394.19483630703,197.9199776855623,1033.0110454764206,1033.0110454760372,True,1585.3356400141784,115000.0,581704.0785514375,1000000,411.3027549104646,
4,HX_5,10,1.0407407407407407,0.10407407407407408,231905.76944641443,197.9076751143112,1032.269584653011,1032.2695846529894,True,1583.5060115972738,115000.0,584122.6996162153,1000000,411.86777138578555,
4,HX_5,11,1.144814814814815,0.10407407407407408,231418.37368980766,197.89538530519752,1031.529523913082,1031.5295239130803,True,1581.6798583790646,115000.0,586536.2374389725,1000000,412.4314339219427,
4,HX_5,12,1.248888888888889,0.10407407407407408,230932.0055346057,197.88310826965636,1030.7908602378043,1030.7908602378038,True,1579.8571738033816,115000.0,588944.702735522,1000000,412.99374493532963,
4,HX_5,13,1.3529629629629631,0.10407407407407408,230446.6629521163,197.8708440190491,1030.0535906159284,1030.0535906159284,True,1578.037951325997,115000.0,591348.1062005302,1000000,413.5547068410822,
4,HX_5,14,1.4570370370370371,0.10407407407407408,229962.34391687444,197.8585925646629,1029.3177120435616,1029.3177120435616,True,1576.222184414607,115000.0,593746.4585075504,1000000,414.1143220530404,
4,HX_5,15,1.5611111111111113,0.10407407407407408,229479.04640664833,197.84635391771084,1028.5832215241294,1028.5832215241294,True,1574.4098665488148,115000.0,596139.7703090557,1000000,414.67259298371164,
4,HX_5,16,1.6651851851851853,0.10407407407407408,228996.7684024439,197.83412808933264,1027.8501160683513,1027.8501160683513,True,1572.6009912201162,115000.0,598528.0522364731,1000000,415.2295220442345,
4,HX_5,17,1.7692592592592593,0.10407407407407408,228515.50788850634,197.821915090594,1027.11839269421,1027.11839269421,True,1570.7955519318778,115000.0,600911.314900217,1000000,415.78511164434474,
4,HX_5,18,1.8733333333333335,0.10407407407407408,228035.2628523237,197.8097149324877,1026.3880484269293,1026.3880484269293,True,1568.9935421993223,115000.0,603289.5688897233,1000000,416.3393641923429,
4,HX_5,19,1.9774074074074075,0.10407407407407408,227556.03128462893,197.79752762593296,1025.6590802989463,1025.6590802989463,True,1567.19495554951,115000.0,605662.8247734826,1000000,416.8922820950615,
4,HX_5,20,2.0814814814814815,0.10407407407407408,227077.8111794039,197.785353181777,1024.931485349892,1024.931485349892,True,1565.399785521323,115000.0,608031.0930990746,1000000,417.4438677578345,
4,HX_5,21,2.1855555555555557,0.10407407407407408,226600.6005338792,197.77319161079404,1024.2052606265609,1024.205260626561,True,1563.6080256654445,115000.0,610394.384393201,1000000,417.9941235844681,
4,HX_5,22,2.28962962962963,0.10407407407407408,226124.39734853696,197.76104292368566,1023.4804031828905,1023.4804031828905,True,1561.8196695443444,115000.0,612752.7091617202,1000000,418.54305197721277,
4,HX_5,23,2.393703703703704,0.10407407407407408,225649.19962711248,197.74890713108132,1022.7569100799369,1022.7569100799369,True,1560.034710732259,115000.0,615106.077889681,1000000,419.0906553367336,
4,HX_5,24,2.497777777777778,0.10407407407407408,225175.00537659426,197.73678424353793,1022.0347783858499,1022.03477838585,True,1558.2531428151729,115000.0,617454.5010413558,1000000,419.63693606208676,
